author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Mendelson MM		28095459	2017-01-17	Body mass index	EFO_0004340	Lothian Birth Cohort 1921	Table S1	DNA methylation	Body mass index	Age, sex and cell counts	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood		446	1		79	174	272	446						28095459_body_mass_index_lothian_birth_cohort_1921
Mendelson MM		28095459	2017-01-17	Body mass index	EFO_0004340	Lothian Birth Cohort 1936	Table S1	DNA methylation	Body mass index	Age, sex and cell counts	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood		920	1		70	552	368	920						28095459_body_mass_index_lothian_birth_cohort_1936
Mendelson MM		28095459	2017-01-17	Body mass index	EFO_0004340	Meta-analysis	Table S1	DNA methylation	Body mass index	Age, sex, cell counts and technical covariates	Beta values	kg/m2	Illumina HumanMethylation450	Whole blood	Weighted Z-test meta-analysis	3743	4		69.2	1796	1947	3743						28095459_body_mass_index_metaanalysis
Chen P		28127622	2017-01-26	Intrauterine exposure to diabetes	EFO_0000400, EFO_0001360		Table 2	DNA methylation	Intrauterine exposure to diabetes	Age, sex, maternal age at birth and technical covariates	M values		Illumina HumanMethylation450	Whole blood		388	1		13	159	229							28127622_intrauterine_exposure_to_diabetes
Aslibekyan S		28139377	2016-11-14	Plasma adiponectin	EFO_0004502	Discovery	Table 2	DNA methylation	Plasma adiponectin	Age, sex and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	CD4+ T-cells	Plasma adiponectin levels were log transformed	991	1		49	473	518							28139377_plasma_adiponectin_discovery
Aslibekyan S		28139377	2016-11-14	Plasma adiponectin	EFO_0004502	Discovery adjusted for BMI	Table 3	DNA methylation	Plasma adiponectin	Age, sex, body mass index and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	CD4+ T-cells	Plasma adiponectin levels were log transformed	991	1		49	473	518							28139377_plasma_adiponectin_discovery_adjusted_for_bmi
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Discovery adjusted for smoking and alcohol consumption	Table 4	DNA methylation	Plasma adiponectin	Age, sex, smoking, alcohol consumption and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	CD4+ T-cells	Plasma adiponectin levels were log transformed	991	1		49	473	518							28139377_plasma_adiponectin_discovery_adjusted_for_smoking_and_alcohol
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Replication 1	Table 2	DNA methylation	Plasma adiponectin	Age, sex, cell counts and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	Whole blood	Plasma adiponectin levels were log transformed	592	1		43	274	318							28139377_plasma_adiponectin_replication_1
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Replication 1 adjusted for BMI	Table 4	DNA methylation	Plasma adiponection	Age, sex, body mass index, cell counts and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	Whole blood	Plasma adiponectin levels were log transformed	592	1		43	274	318							28139377_plasma_adiponectin_replication_1_adjusted_for_bmi
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Replication 1 adjusted for smoking and alcohol consumption	Table 4	DNA methylation	Plasma adiponectin	Age, sex, smoking, alcohol consumption, cell counts and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	Whole blood	Plasma adiponectin levels were log transformed	592	1		43	274	318							28139377_plasma_adiponectin_replication_1_adjusted_for_smoking_and_alcohol
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Replication 2	Table 2	DNA methylation	Plasma adiponectin	Age, sex, cell counts and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	Whole blood	Plasma adiponectin levels were log transformed	243	1		43	86	157							28139377_plasma_adiponectin_replication_2
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Replication 2 adjusted for BMI	Table 4	DNA methylation	Plasma adiponectin	Age, sex, body mass index and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	Whole blood	Plasma adiponectin levels were log transformed	243	1		43	86	157							28139377_plasma_adiponectin_replication_2_adjusted_for_bmi
Aslibekyan S		28139377	2016-11-23	Plasma adiponectin	EFO_0004502	Replication 2 adjusted for smoking and alcohol consumption	Table 4	DNA methylation	Plasma adiponectin	Age, sex, smoking, alcohol consumption and technical covariates	Beta values	ug/dl	Illumina HumanMethylation450	Whole blood	Plasma adiponectin levels were log transformed	243	1		43	86	157							28139377_plasma_adiponectin_replication_2_adjusted_for_smoking_and_alcohol
Hong X		28165855	2017-02-06	Early spontaneous preterm birth	EFO_0006917, EFO_0003917	Discovery	Table 2, Table S1	DNA methylation	Early spontaneous preterm birth	Maternal age, maternal smoking, cell counts and technical covariates	M values		Illumina HumanMethylation450	Maternal white blood cells		290	1	146 cases, 144 controls (term births)		0	290				290			28165855_early_spontaneous_preterm_birth_discovery
Hong X		28165855	2017-02-06	Early spontaneous preterm birth	EFO_0006917, EFO_0003917	Replication	Table2, Table S1	DNA methylation	Early spontaneous preterm birth	Maternal age, maternal smoking, cell counts and technical covariates	M values		Illumina HumanMethylation450	Maternal white blood cells		61	1	7 cases, 54 controls (term births)		0	61				61			28165855_early_spontaneous_preterm_birth_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery	Table S1	Serum high-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		645	1		63.2	316	329							28173150_serum_highdensity_lipoprotein_cholesterol_discovery
Sayols-Baixeras S		28173150	2016-09-15	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery adjusted for surrogate variables	Table S1	Serum high-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		645	1		63.2	316	329							28173150_serum_highdensity_lipoprotein_cholesterol_discovery_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication	Table S1	Serum high-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		3187	2		65.7	1480	1707							28173150_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication adjusted for surrogate variables	Table S1	Serum high-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		3187	2		65.7	1480	1707							28173150_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication	Table S1	Serum high-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		2542	1		66.3	1164	1378							28173150_serum_highdensity_lipoprotein_cholesterol_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication adjusted for surrogate variables	Table S1	Serum high-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		2542	1		66.3	1164	1378							28173150_serum_highdensity_lipoprotein_cholesterol_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery	Table S1	Serum low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		645	1		63.2	316	329							28173150_serum_lowdensity_lipoprotein_cholesterol_discovery
Sayols-Baixeras S		28173150	2016-09-15	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery adjusted for surrogate variables	Table S1	Serum low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		645	1		63.2	316	329							28173150_serum_lowdensity_lipoprotein_cholesterol_discovery_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery and replication	Table S1	Serum low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		3187	2		65.7	1480	1707							28173150_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery and replication adjusted for surrogate variables	Table S1	Serum low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		3187	2		65.7	1480	1707							28173150_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Replication	Table S1	Serum low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		2542	1		66.3	1164	1378							28173150_serum_lowdensity_lipoprotein_cholesterol_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Replication adjusted for surrogate variables	Table S1	Serum low-density lipoprotein cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		2542	1		66.3	1164	1378							28173150_serum_lowdensity_lipoprotein_cholesterol_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum total cholesterol	EFO_0004574	Discovery	Table S1	Serum total cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		645	1		63.2	316	329							28173150_serum_total_cholesterol_discovery
Sayols-Baixeras S		28173150	2016-09-15	Serum total cholesterol	EFO_0004574	Discovery adjusted for surrogate variables	Table S1	Serum total cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		645	1		63.2	316	329							28173150_serum_total_cholesterol_discovery_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum total cholesterol	EFO_0004574	Discovery and replication	Table S1	Serum total cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		3187	2		65.7	1480	1707							28173150_serum_total_cholesterol_discovery_and_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum total cholesterol	EFO_0004574	Discovery and replication adjusted for surrogate variables	Table S1	Serum total cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		3187	2		65.7	1480	1707							28173150_serum_total_cholesterol_discovery_and_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum total cholesterol	EFO_0004574	Replication	Table S1	Serum total cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		2542	1		66.3	1164	1378							28173150_serum_total_cholesterol_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum total cholesterol	EFO_0004574	Replication adjusted for surrogate variables	Table S1	Serum total cholesterol	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood		2542	1		66.3	1164	1378							28173150_serum_total_cholesterol_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery	Table S1	Serum triglycerides	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood	Triglycerides levels were log-transformed	645	1		63.2	316	329							28173150_serum_triglycerides_discovery
Sayols-Baixeras S		28173150	2016-09-15	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery adjusted for surrogate variables	Table S1	Serum triglycerides	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood	Triglycerides levels were log-transformed	645	1		63.2	316	329							28173150_serum_triglycerides_discovery_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication	Table S1	Serum triglycerides	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood	Triglycerides levels were log-transformed	3187	2		65.7	1480	1707							28173150_serum_triglycerides_discovery_and_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication adjusted for surrogate variables	Table S1	Serum triglycerides	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood	Triglycerides levels were log-transformed	3187	2		65.7	1480	1707							28173150_serum_triglycerides_discovery_and_replication_adjusted_for_surrogate_variables
Sayols-Baixeras S		28173150	2016-09-15	Serum triglycerides	EFO_0004530, CHEBI_17855	Replication	Table S1	Serum triglycerides	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood	Triglycerides levels were log-transformed	2542	1		66.3	1164	1378							28173150_serum_triglycerides_replication
Sayols-Baixeras S		28173150	2016-09-15	Serum triglycerides	EFO_0004530, CHEBI_17855	Replication adjusted for surrogate variables	Table S1	Serum triglycerides	DNA methylation	Age, sex, smoking, cell counts and technical covariates	mg/dl	M values	Illumina HumanMethylation450	Whole blood	Triglycerides levels were log-transformed	2542	1		66.3	1164	1378							28173150_serum_triglycerides_replication_adjusted_for_surrogate_variables
Braun KVE		28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery	Table 2	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		725	1		60	336	389							28194238_highdensity_lipoprotein_cholesterol_discovery
Braun KVE		28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication	Table S1	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication
Braun KVE		28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication adjusted for lipid-lowering medication use	Table 3	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, lipid-lowering medication use, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication_lipidlowering_medication_use_adjusted
Braun KVE		28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication adjusted for other lipids	Table 3	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, other lipids, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication_other_lipids_adjusted
Braun KVE		28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication adjusted for waist circumference	Table 3	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, waist circumference, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication_waist_circumference_adjusted
Braun KVE		28194238	2016-06-16	High-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication	Table 2	DNA methylation	High-density lipoprotein cholesterol	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		760	1		68	324	436							28194238_highdensity_lipoprotein_cholesterol_replication
Braun KVE		28194238	2016-06-16	Total cholesterol	EFO_0004574	Discovery and replication	Table S1	DNA methylation	Total cholesterol	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_total_cholesterol_discovery_and_replication
Braun KVE		28194238	2016-06-16	Triglycerides	EFO_0004530, CHEBI_17855	Discovery	Table 2	DNA methylation	Triglycerides	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		725	1		60	336	389							28194238_triglycerides_discovery
Braun KVE		28194238	2016-06-16	Triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication	Table S1	DNA methylation	Triglycerides	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_triglycerides_discovery_and_replication
Braun KVE		28194238	2016-06-16	Triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication adjusted for lipid-lowering medication use	Table 3	DNA methylation	Triglycerides	Age, sex, smoking, lipid-lowering medication use, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_triglycerides_discovery_and_replication_lipidlowering_medication_use_adjusted
Braun KVE		28194238	2016-06-16	Triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication adjusted for other lipids	Table 3	DNA methylation	Triglycerides	Age, sex, smoking, other lipids, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_triglycerides_discovery_and_replication_other_lipids_adjusted
Braun KVE		28194238	2016-06-16	Triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication adjusted for waist circumference	Table 3	DNA methylation	Triglycerides	Age, sex, smoking, waist circumference, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		1485	2		64	660	825							28194238_triglycerides_discovery_and_replication_waist_circumference_adjusted
Braun KVE		28194238	2016-06-16	Triglycerides	EFO_0004530, CHEBI_17855	Replication	Table 2	DNA methylation	Triglycerides	Age, sex, smoking, cell counts and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood		760	1		68	324	436							28194238_triglycerides_replication
Hedman AK		28213390	2017-02-17	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery	Table S4	DNA methylation	Serum high-density lipoprotein cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2306	2		68	1090	1216							28213390_serum_highdensity_lipoprotein_cholesterol_discovery
Hedman AK		28213390	2017-02-17	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery adjusted for BMI	Table S7	DNA methylation	Serum high-density lipoprotein cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2306	2		68	1090	1216							28213390_serum_highdensity_lipoprotein_cholesterol_discovery_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication	Table S4	DNA methylation	Serum high-density lipoprotein cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	3889	4		63	1843	2046							28213390_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication
Hedman AK		28213390	2017-02-17	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Discovery and replication adjusted for BMI	Table S8	DNA methylation	Serum high-density lipoprotein cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	3889	4		65	1843	2046							28213390_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication	Table S4	DNA methylation	Serum high-density lipoprotein cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		1583	2		57	752	831							28213390_serum_highdensity_lipoprotein_cholesterol_replication
Hedman AK		28213390	2017-02-17	Serum high-density lipoprotein cholesterol	EFO_0004612, CHEBI_47775	Replication adjusted for BMI	Table S8	DNA methylation	Serum high-density lipoprotein cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		1583	2		65	752	831							28213390_serum_highdensity_lipoprotein_cholesterol_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery	Table S3	DNA methylation	Serum low-density lipoprotein cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2304	2		68	1089	1215							28213390_serum_lowdensity_lipoprotein_cholesterol_discovery
Hedman AK		28213390	2017-02-17	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery adjusted for BMI	Table S7	DNA methylation	Serum low-density lipoprotein cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2304	2		68	1089	1215							28213390_serum_lowdensity_lipoprotein_cholesterol_discovery_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery and replication	Table S3	DNA methylation	Serum low-density lipoprotein cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	3883	4		63	1840	2043							28213390_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication
Hedman AK		28213390	2017-02-17	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Discovery and replication adjusted for BMI	Table S7	DNA methylation	Serum low-density lipoprotein cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	3883	4		65	1840	2043							28213390_serum_lowdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Replication	Table S3	DNA methylation	Serum low-density lipoprotein cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		1579	2		57	750	829							28213390_serum_lowdensity_lipoprotein_cholesterol_replication
Hedman AK		28213390	2017-02-17	Serum low-density lipoprotein cholesterol	EFO_0004195, EFO_0004611	Replication adjusted for BMI	Table S7	DNA methylation	Serum low-density lipoprotein cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		1579	2		57	750	829							28213390_serum_lowdensity_lipoprotein_cholesterol_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum total cholesterol	EFO_0004574	Discovery	Table S2	DNA methylation	Serum total cholesterol	Age, sex, white cell counts, and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Meta-analysis of 2 discovery cohorts	2306	2		68	1090	1216							28213390_serum_total_cholesterol_discovery
Hedman AK		28213390	2017-02-17	Serum total cholesterol	EFO_0004574	Discovery adjusted for BMI	Table S6	DNA methylation	Serum total cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2306	2		68	1090	1216							28213390_serum_total_cholesterol_discovery_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum total cholesterol	EFO_0004574	Discovery and replication	Table S2	DNA methylation	Serum total cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	4331	5		65	2023	2308							28213390_serum_total_cholesterol_discovery_and_replication
Hedman AK		28213390	2017-02-17	Serum total cholesterol	EFO_0004574	Discovery and replication adjusted for BMI	Table S6	DNA methylation	Serum total cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	4331	5		65	2023	2308							28213390_serum_total_cholesterol_discovery_and_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum total cholesterol	EFO_0004574	Replication	Table S2	DNA methylation	Serum total cholesterol	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2025	3		61	932	1093							28213390_serum_total_cholesterol_replication
Hedman AK		28213390	2017-02-17	Serum total cholesterol	EFO_0004574	Replication adjusted for BMI	Table S6	DNA methylation	Serum total cholesterol	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2025	3		61	932	1093							28213390_serum_total_cholesterol_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery	Table S5	DNA methylation	Serum triglycerides	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2306	2		68	1090	1216							28213390_serum_triglycerides_discovery
Hedman AK		28213390	2017-02-17	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery adjusted for BMI	Table S9	DNA methylation	Serum triglycerides	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		2306	2		68	1090	1216							28213390_serum_triglycerides_discovery_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication	Table S5	DNA methylation	Serum triglycerides	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	4261	5		65	1990	2271							28213390_serum_triglycerides_discovery_and_replication
Hedman AK		28213390	2017-02-17	Serum triglycerides	EFO_0004530, CHEBI_17855	Discovery and replication adjusted for BMI	Table S9	DNA methylation	Serum triglycerides	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood	Inverse variance weighted fixed-effect meta-analysis	4261	5		65	1990	2271							28213390_serum_triglycerides_discovery_and_replication_adjusted_for_bmi
Hedman AK		28213390	2017-02-17	Serum triglycerides	EFO_0004530, CHEBI_17855	Replication	Table S5	DNA methylation	Serum triglycerides	Age, sex, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		1955	3		61	900	1055							28213390_serum_triglycerides_replication
Hedman AK		28213390	2017-02-17	Serum triglycerides	EFO_0004530, CHEBI_17855	Replication adjusted for BMI	Table S9	DNA methylation	Serum triglycerides	Age, sex, body mass index, cell counts and technical covariates	Beta values	mg/dl	Illumina HumanMethylation450	Whole blood		1955	3		61	900	1055							28213390_serum_triglycerides_replication_adjusted_for_bmi
Chatziioannou A	EnviroGenomarkers project consortium	28225026	2017-02-22	Tobacco smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table S2	DNA methylation	Current vs never smoking	Age, sex, body mass index, study centre and cell counts	M values		Illumina HumanMethylation450	Whole blood		454	2	143 current smokers, 311 never smokers	52	134	320							28225026_tobacco_smoking
